date,leader,fish_of_day,coords_raw,UTM_zone,easting,northing,elevation,lat_dec_deg,long_dec_deg,detection,detection_specific,loc_main,loc_specific,loc_comments,radio_freq,radio_id,active,temp_C,signal_strength,gain,surface_temp_C,depth_m,habitat_desc,odfw_spawn_area,comments
6/12/2017,William Tinniswood,4,,,,,,,,keno,keno,Klamath R,,400 m downstream of keno dam,170,4,Y,15.6,59,73,,,,,
6/22/2017,William Tinniswood,3,,,,,,,,keno,keno,Klamath R,,Keno dam,170,4,,22,,,21.5,,,,
6/30/2017,NH,3,,,,,,,,keno,keno,Klamath R,Keno Reach,"powerline pole on old wagon road 300m downstream of dam, long pool",170,4,Y,22.8,71,,,,pool,,found at 13:32
7/7/2017,JA,3,,,,,,,,keno,keno,Klamath R,Keno Reach,keno dam,170,4,Y,24.4,61,,,,,,"picked up at 15:35, temp ranged 22.8-25.2"
7/13/2017,MH,5,,,,,,42.13339,-121.948258,keno,keno,Klamath R,Keno Reach,1/4 mi below keno dam,170,4,Y,24.4,151,,,,,,
7/24/2017,MH,8,,,,,,42.14470789,-121.9731731,keno,keno,Klamath R,Keno Reach,tagging location,170,4,Y,24.4,202,70,23.2,,,,
5/26/2017,NH,11,,,,,,,,release,release,,,Keno Dam,170,5,Y,,,,,,,,release site
6/6/2017,NH,2,,,,,,42.13421,-121.9493,keno,keno,Klamath R,Keno Stretch,tailrace of keno dam closer to first rapid below dam,170,5,Y,20.4,74,,20.2,,,,
6/12/2017,William Tinniswood,3,,,,,,,,keno,keno,Klamath R,,Immediately below keno dam,170,5,N,15.6,84,73,,,,,
6/22/2017,William Tinniswood,1,,,,,,,,keno,keno,Klamath R,,Keno dam,170,5,Y,22.8,,,21.5,,,,
6/30/2017,NH,1,,,,,,,,keno,keno,Klamath R,Keno Reach: Keno Dam,keno dam,170,5,Y,22.8,66,,,,,,found at 13:20
7/7/2017,JA,2,,,,,,,,keno,keno,Klamath R,Keno Reach,keno dam,170,5,Y,25.2,90,,,,,,"picked up at 15:35, temp ranged 24.4-25.2"
7/13/2017,MH,6,,,,,,42.133293,-121.948301,keno,keno,Klamath R,Keno Reach,1/4 mi below keno dam,170,5,Y,24.4,189,,,,,,
7/17/2017,Jordan Ortega,6,42 07.8940 N    121 56.8427 W::7/17/17 at 21:21:23 (UTC),10T,5.87E+05,4.66E+06,1228.7 M,42.131567 N,121.947378 W,keno,keno,Klamath R,Keno Stretch,Near large willow halfway between 2nd and 3rd utility poles below dam,170,5,Y,24.4,195,54,,,,,
7/24/2017,MH,1,,,,,,42.13201594,-121.9474364,keno,keno,Klamath R,Keno Reach,1/4 below dam,170,5,Y,23.6,154,70,23.2,,,,
8/4/2017,Nick Hahlbeck,6,42 07.9605 N    121 57.4371 W::8/4/17 at 18:37:59 (UTC),10T,5.86E+05,4.67E+06,1574.0 M,42.132675 N,121.957285 W,dead,dead,Klamath R,Keno Stretch,,170,5,N,26,90,75,,,,,
11/7/2017,William Tinniswood,2,,,,,,,,dead,dead,Klamath R,Keno Stretch,Below Keno Dam,170,5,N,,,,,,,,
7/24/2017,MH,12,,,,,,42.15056,-122.00706,junk,junk,Klamath R,Keno Reach,,170,6,Y,27.6,210,70,23.2,,,,can't be #6 (test tag in office)
5/6/2017,NH,2,,,,,,,,release,release,,,Spencer Ck,170,7,Y,,,,,,,,release site
6/12/2017,William Tinniswood,15,42 09.1857 N    122 00.7378 W::6/12/17 at 20:16:11 (UTC),10T,5.82E+05,4.67E+06,1235.9 M,42.153095 N,122.012297 W,keno,keno,Klamath R,,Near topsy,170,7,Y,15.6,,,,,,,
7/7/2017,JA,1,,,,,,,,dead,dead,Klamath R,Keno Reach,"final rapid cliff, looking upstream at junction with topsy",170,7,N,26.8,34,,,,,,picked up at 15:00
7/24/2017,MH,11,,,,,,42.15056,-122.00706,dead,dead,Klamath R,Keno Reach,,170,7,Y,26.8,130,70,23.2,,,,
8/4/2017,Nick Hahlbeck,11,42 09.1591 N    122 00.4569 W::8/4/17 at 22:24:33 (UTC),10T,5.82E+05,4.67E+06,1122.3 M,42.152653 N,122.007733 W,dead,dead,Klamath R,Keno Stretch,,170,7,N,27.6,144,80,,,,,
5/26/2017,NH,2,,,,,,,,release,release,,,Keno Dam,170,8,Y,,,,,,,,release site
6/6/2017,NH,4,,,,,,42.13285,-121.94851,keno,keno,Klamath R,Keno Stretch,end of first rapid below keno dam,170,8,Y,20.4,108,,20.2,,riffle,,
6/12/2017,William Tinniswood,12,42 07.7914 N    121 57.6470 W::6/12/17 at 19:26:44 (UTC),10T,5.86E+05,4.66E+06,1291.6 M,42.129857 N,121.960783 W,keno,keno,Klamath R,,,170,8,Y,14.8,30,,,,,,
6/30/2017,NH,9,,,,,,,,dead,dead,Klamath R,Keno Reach,just down from first island below keno dam,170,8,N,22.8,78,,,,,,
7/7/2017,JA,8,,,,,,,,dead,dead,Klamath R,Keno Reach,keno reach,170,8,N,24.4,73,,,,,,"picked up at 16:06, temp ranged 23.6-24.4"
7/17/2017,Jordan Ortega,3,42 07.9192 N    121 57.4369 W::7/17/17 at 19:06:01 (UTC),10T,5.86E+05,4.66E+06,1263.8 M,42.131987 N,121.957282 W,dead,dead,Klamath R,Keno Stretch,In between 1st and second bend below dam  near large island,170,8,Y,24.4,181,60,,,,,
7/24/2017,MH,5,,,,,,42.13158256,-121.9578015,dead,dead,Klamath R,Keno Reach,,170,8,Y,24.4,224,70,23.2,,,,
8/4/2017,Nick Hahlbeck,5,42 07.8527 N    121 57.3031 W::8/4/17 at 18:31:46 (UTC),10T,5.86E+05,4.66E+06,1336.5 M,42.130878 N,121.955052 W,dead,dead,Klamath R,Keno Stretch,,170,8,Y,25.2,136,75,,,,,
5/26/2017,NH,4,,,,,,,,release,release,,,Keno Dam,170,9,Y,,,,,,,,release site
6/6/2017,NH,10,,,,,,42.12848,-121.9525,dead,dead,Klamath R,Keno Stretch,first fork/island below keno dam,170,9,N,20.4,110,,,,,,
6/12/2017,William Tinniswood,6,,,,,,,,dead,dead,Klamath R,,Below keno dam first bend,170,9,N,15.6,68,74,,,,,
6/22/2017,William Tinniswood,11,,,,,,,,dead,dead,Klamath R,Keno Stretch,Below bend near dam,170,9,N,22,,,21.5,,,,
6/30/2017,NH,5,,,,,,,,dead,dead,Klamath R,Keno Reach,end of old wagon downstream of power line crossing,170,9,N,23.6,88,,,,,,
7/7/2017,JA,5,,,,,,,,dead,dead,Klamath R,Keno Reach,end of pool downstream of dam,170,9,N,,,,,,,,picked up at 15:45
7/13/2017,MH,4,,,,,,42.12822,-121.955117,dead,dead,Klamath R,Keno Reach,downstream of houses in keno,170,9,N,,,,,,,,picked this one up driving on 66
7/17/2017,Jordan Ortega,2,42 07.7116 N    121 57.0197 W::7/17/17 at 18:44:20 (UTC),10T,5.87E+05,4.66E+06,1302.7 M,42.128527 N,121.950328 W,dead,dead,Klamath R,Keno Stretch,1\4 mile below first power lines,170,9,N,24.4,201,60,,,,,
7/24/2017,MH,3,,,,,,42.12763058,-121.9505076,dead,dead,Klamath R,Keno Reach,1/4 below power,170,9,N,24.4,177,70,23.2,,,,
8/4/2017,Nick Hahlbeck,3,42 07.7663 N    121 56.9508 W::8/4/17 at 18:15:21 (UTC),10T,5.87E+05,4.66E+06,1201.9 M,42.129438 N,121.949180 W,dead,dead,Klamath R,Keno Stretch,,170,9,N,26,90,75,,,,,
10/25/2017,William Tinniswood,3,,,,,,,,dead,dead,Klamath R,Keno Stretch,Below Keno Dam,170,9,N,10.8,,,,,,,
11/7/2017,William Tinniswood,5,,,,,,,,dead,dead,Klamath R,Keno Stretch,Below Keno Dam,170,9,N,,,,,,,,
5/26/2017,NH,6,,,,,,,,release,release,,,Keno Dam,170,10,Y,,,,,,,,release site
6/6/2017,NH,5,,,,,,42.13255,-121.94855,keno,keno,Klamath R,Keno Stretch,end of first rapid below keno dam,170,10,Y,19.6,135,,20.2,,riffle,,
6/12/2017,William Tinniswood,8,,,,,,,,keno,keno,Klamath R,,Below keno dam,170,10,Y,16.4,48,,14.5,,,,
6/12/2017,William Tinniswood,19,,,,,,,,keno,keno,Klamath R,,Keno dam,170,10,Y,15.6,53,81,,,,,Below dam
6/22/2017,William Tinniswood,9,,,,,,,,keno,keno,Klamath R,Keno Stretch,,170,10,Y,22,,,21.5,,,,
6/30/2017,NH,13,,,,,,,,keno,keno,Klamath R,Keno Reach,200m upstream of keno fishing hole power line,170,10,Y,23.6,59,,,,,,
7/7/2017,JA,11,,,,,,,,keno,keno,Klamath R,Keno Reach,powerline fishing hole hwy 66,170,10,Y,25.2,80,,,,,,picked up at 16:22
7/13/2017,MH,3,,,,,,42.14117683,-121.9711044,keno,keno,Klamath R,Keno Reach,PIT tagging reach,170,10,Y,25.2,175,,,,,,
7/24/2017,MH,7,,,,,,42.14189138,-121.9710805,keno,keno,Klamath R,Keno Reach,tagging location,170,10,Y,24.4,112,70,23.2,,,,
8/4/2017,Nick Hahlbeck,8,42 08.7301 N    121 58.2563 W::8/4/17 at 20:00:09 (UTC),10T,5.85E+05,4.67E+06,1259.9 M,42.145502 N,121.970938 W,keno,keno,Klamath R,Keno Stretch,Fishing power lines,170,10,Y,26.8,155,84,,,,,
10/25/2017,William Tinniswood,1,,,,,,,,keno,keno,Klamath R,Keno Stretch,"Below Keno dam in long, slow pool",170,10,Y,10.8,,,,,,,
11/7/2017,William Tinniswood,1,,,,,,,,keno,keno,Klamath R,Keno Stretch,Below Keno Dam,170,10,Y,9.2,,,,,,,
5/26/2017,NH,9,,,,,,,,release,release,,,Keno Dam,170,11,Y,,,,,,,,release site
6/6/2017,NH,12,,,,,,42.12921,-121.95372,keno,keno,Klamath R,Keno Stretch,third rapid below keno dam,170,11,Y,21.2,76,,,,,,picked up with signal strength 75-100 another 1/3-1/2 mile downriver
6/12/2017,William Tinniswood,11,42 07.6627 N    121 57.4202 W::6/12/17 at 19:22:25 (UTC),10T,5.86E+05,4.66E+06,1310.8 M,42.127712 N,121.957003 W,keno,keno,Klamath R,,,170,11,Y,15.6,,,,,,,
6/22/2017,William Tinniswood,4,,,,,,,,keno,keno,Klamath R,,Keno dam,170,11,Y,22,,,21.5,,,,
6/30/2017,NH,6,,,,,,,,dead,dead,Klamath R,Keno Reach,end of old wagon downstream of power line crossing,170,11,N,21.2,95,,,,,,found at 13:44
7/7/2017,JA,7,,,,,,,,dead,dead,Klamath R,Keno Reach,top of island,170,11,N,22.8,71,,,,,,"picked up at 16:00, temp ranged 22.0-22.8"
7/17/2017,Jordan Ortega,1,42 07.7103 N    121 57.0153 W::7/17/17 at 18:42:21 (UTC),10T,5.87E+05,4.66E+06,1302.6 M,42.128505 N,121.950255 W,dead,dead,Klamath R,Keno Stretch,1\4 mile bellow first powerlines,170,11,N,22.8,172,60,,,,,
7/24/2017,MH,4,,,,,,42.12763058,-121.9505076,dead,dead,Klamath R,Keno Reach,1/4 below power,170,11,N,19.6,170,70,23.2,,,,
8/4/2017,Nick Hahlbeck,4,42 07.7218 N    121 57.0002 W::8/4/17 at 18:18:35 (UTC),10T,5.87E+05,4.66E+06,1495.8 M,42.128697 N,121.950003 W,dead,dead,Klamath R,Keno Stretch,,170,11,N,24.4,78,75,,,,,
10/25/2017,William Tinniswood,4,,,,,,,,dead,dead,Klamath R,Keno Stretch,Below Keno Dam,170,11,N,10.8,,,,,,,
11/7/2017,William Tinniswood,4,,,,,,,,dead,dead,Klamath R,Keno Stretch,Below Keno Dam,170,11,N,,,,,,,,
5/26/2017,NH,5,,,,,,,,release,release,,,Keno Dam,170,12,Y,,,,,,,,release site
6/6/2017,NH,1,,,,,,42.13421,-121.9493,keno,keno,Klamath R,Keno Stretch,tailrace of keno dam,170,12,Y,20.4,112,,20.2,,,,
6/12/2017,William Tinniswood,10,,,,,,,,dead,dead,Klamath R,,Below big bend,170,12,N,23,,,,,,,
6/27/2017,USGS,,,,,,,,,link,link,Klamath R,,PIT Remote Lower Link River Array10,170,12,,,,,,,,,
5/26/2017,NH,8,,,,,,,,release,release,,,Keno Dam,170,13,Y,,,,,,,,release site
6/6/2017,NH,9,,,,,,42.12945,-121.94783,keno,keno,Klamath R,Keno Stretch,middle of second rapid below keno dam,170,13,Y,20.4,131,,19.8,,pool?,,
6/12/2017,William Tinniswood,5,,,,,,,,keno,keno,Klamath R,,300 m down from keno dam,170,13,Y,15.4,59,73,,,,,
6/22/2017,William Tinniswood,5,,,,,,,,keno,keno,Klamath R,,Keno dam,170,13,Y,22.8,,,21.5,,,,
6/30/2017,NH,4,,,,,,,,keno,keno,Klamath R,Keno Reach,"powerline pole on old wagon road 300m downstream of dam, long pool",170,13,Y,23.6,71,,,,pool,,found at 13:32
7/7/2017,JA,4,,,,,,,,keno,keno,Klamath R,Keno Reach,downstream of dam,170,13,Y,25.2,57,,,,,,"picked up at 15:42, temp ranged 23.6-25.2"
7/13/2017,MH,7,,,,,,42.131117,-121.947726,keno,keno,Klamath R,Keno Reach,3/8 mi below keno dam,170,13,Y,24.4,145,,,,,,
7/17/2017,Jordan Ortega,4,42 07.7294 N    121 56.8800 W::7/17/17 at 20:34:26 (UTC),10T,5.87E+05,4.66E+06,1302.6 M,42.128823 N,121.948000 W,keno,keno,Klamath R,Keno Stretch,Hole 10m up from tiny ck 15C across from end of old wagon,170,13,Y,24.4,255,33,23.3,,Pool,,Ck too small for refuge... 5m downstream = surface temp
7/24/2017,MH,2,,,,,,42.12883364,-121.9472967,keno,keno,Klamath R,Keno Reach,1/4 below dam,170,13,Y,23.6,237,70,23.2,,,,
5/6/2017,NH,1,,,,,,,,release,release,,,Spencer Ck,170,14,Y,,,,,,,,release site
6/6/2017,NH,13,,,,,,42.13668,-121.96451,keno,keno,Klamath R,Keno Stretch,below fifth rapid below keno dam,170,14,Y,21.2,104,,,,pool,,temp read 19.6-22.8
6/12/2017,William Tinniswood,13,42 07.9530 N    121 57.8940 W::6/12/17 at 19:33:54 (UTC),10T,5.86E+05,4.67E+06,1311.6 M,42.132550 N,121.964900 W,keno,keno,Klamath R,,,170,14,Y,15.6,,,,,,,
6/22/2017,William Tinniswood,8,,,,,,,,keno,keno,Klamath R,,,170,14,N,22,,,21.5,,,,
6/30/2017,NH,10,,,,,,42.13157,-121.95571,keno,keno,Klamath R,Keno Reach,1/4 mi below first island below keno dam,170,14,Y,23.6,68,,,,,,found at 14:03
7/7/2017,JA,9,,,,,,,,keno,keno,Klamath R,Keno Reach,read over large extent in keno reach,170,14,Y,25.2,77,,,,,,picked up at 16:07
7/13/2017,MH,1,,,,,,42.15243649,-122.0139829,dead,dead,Klamath R,Keno Reach,upstream of inlet to JC Boyle reservoir,170,14,Y,31.6,75,,,,,,"probably dead, or broken sensor"
7/24/2017,MH,10,,,,,,42.15438,-122.004,dead,dead,Klamath R,Keno Reach,,170,14,N,34,130,70,23.2,,,,
8/4/2017,Nick Hahlbeck,10,42 09.2104 N    121 59.7306 W::8/4/17 at 21:29:10 (UTC),10T,5.83E+05,4.67E+06,1216.0 M,42.153507 N,121.995510 W,dead,dead,Klamath R,Keno Stretch,,170,14,N,34,100,80,,,,,
5/26/2017,NH,1,,,,,,,,release,release,,,Keno Dam,170,15,Y,,,,,,,,release site
6/6/2017,NH,3,,,,,,42.13421,-121.9493,keno,keno,Klamath R,Keno Stretch,tailrace of keno dam,170,15,Y,20.4,110,,20.2,,,,
6/12/2017,William Tinniswood,2,,,,,,,,keno,keno,Klamath R,,Immediately below keno dam,170,15,Y,15.6,61,81,,,,,
6/22/2017,William Tinniswood,2,,,,,,,,keno,keno,Klamath R,,Keno dam,170,15,Y,22,,,21.5,,,,
6/30/2017,NH,2,,,,,,,,keno,keno,Klamath R,Keno Reach: Keno Dam,keno dam,170,15,Y,22.8,66,,,,,,found at 13:20
6/30/2017,NH,7,,,,,,,,junk,junk,Klamath R,Keno Reach,end of old wagon downstream of power line crossing,170,22,,16.4,83,,,,,,"found at 13:44, consistently read I22 like real tag"
6/6/2017,NH,11,,,,,,42.12848,-121.9525,junk,junk,Klamath R,Keno Stretch,first fork/island below keno dam,170,,,,,,,,riffle or pool,,
5/5/2017,NH,1,,,,,,,,release,release,,,Henzel,210,1,Y,,,,,,,,release site
5/19/2017,NH,6,,,,,,,,lake,lake,Agency L,,100m straight out from eastern wood mouth even w/ large private concrete boat ramp,210,1,Y,14,221,49,16.9,1.6,open water w/ algae,,
5/31/2017,William Tinniswood,5,,,,,,,,trib,wood delta,Agency L,,Mouth of new wood river channel,210,1,Y,14,224,74,19.6,,,,Holding in wood river plume
6/7/2017,BOR,19,,10T,587417,4713399,,,,trib,wood delta,,,wood river mouth,210,1,Y,16.4,243,,17.65,2.4,,,"Wood River mouth/ WQ Taken@ 1meter, pH 8.41, DO 10.01"
6/12/2017,STATION,1,,,,,,,,trib,wood delta,Wood R,Wood Station,wood station,210,1,Y,10,125,,,,,,602 detections
6/13/2017,STATION,2,,,,,,,,trib,wood delta,Wood R,Wood Station,wood station,210,1,Y,12.4,107,,,,,,642 detections
6/14/2017,STATION,1,,,,,,,,trib,wood delta,Wood R,Wood Station,wood station,210,1,Y,12.4,127,,,,,,565 detections
6/15/2017,Matt Wyatt,15,42 34.1400 N    121 56.0450 W::6/15/17 at 22:56:05 (UTC),10T,5.87E+05,4.71E+06,1264.4 M,42.569000 N,121.934083 W,trib,wood delta,Wood R,,Mouth,210,1,Y,13.2,66,75,13,,,,
6/15/2017,STATION,1,,,,,,,,trib,wood delta,Wood R,Wood Station,wood station,210,1,Y,12.4,125,,,,,,235 detections
6/16/2017,STATION,1,,,,,,,,trib,wood delta,Wood R,Wood Station,wood station,210,1,Y,14,137,,,,,,543 detections
6/17/2017,STATION,1,,,,,,,,trib,wood delta,Wood R,Wood Station,wood station,210,1,Y,14.8,93,,,,,,69 detections
6/18/2017,STATION,1,,,,,,,,trib,wood delta,Wood R,Wood Station,wood station,210,1,Y,17.2,119,,,,,,273 detections
6/19/2017,STATION,1,,,,,,,,trib,wood delta,Wood R,Wood Station,wood station,210,1,Y,17.2,108,,,,,,686 detections
6/20/2017,STATION,1,,,,,,,,trib,wood delta,Wood R,Wood Station,wood station,210,1,Y,18,126,,,,,,406 detections
6/21/2017,STATION,3,,,,,,,,trib,wood delta,Wood R,Wood Station,wood station,210,1,Y,17.2,237,,,,,,418 detections
6/23/2017,STATION,4,,,,,,,,trib,wood delta,Wood R,Wood Station,wood station,210,1,Y,16.4,63,,,,,,"6 detections, temp ranged 14.0-18.0"
6/28/2017,NH,8,,,,,,42.56764,-121.93643,trib,wood delta,Wood R,Mainstem: Delta,between 2 eastern wood mouths closer to E one,210,1,Y,17.2,98,75,25.3,,open water algae,,
7/10/2017,Jordan Ortega,4,42 34.0117 N    121 56.2445 W::7/10/17 at 19:29:52 (UTC),10T,5.87E+05,4.71E+06,1258.4 M,42.566862 N,121.937408 W,trib,wood delta,Agency L,Wood R Delta,,210,1,Y,16.4,255,52,24.2,,,,
8/17/2017,Nick Hahlbeck,3,,,,,,,,trib,wood delta,Agency L,Wood R Delta,,210,1,Y,13.2,66,70,21.3,1.1,,,
9/6/2017,STATION,11,,,,,,,,trib,wood delta,Wood R,Wood Station,wood station,210,1,Y,12.4,90,,,,,,"51 detections, temp ranged 10.8-18.8"
9/7/2017,STATION,8,,,,,,,,trib,wood delta,Wood R,Wood Station,wood station,210,1,Y,15.6,73,,,,,,"62 detections, temp ranged 13.2-19.6"
9/9/2017,STATION,7,,,,,,,,trib,wood delta,Wood R,Wood Station,wood station,210,1,Y,13.2,124,,,,,,"417 detections, temp ranged 11.6-18.0"
9/12/2017,STATION,8,,,,,,,,trib,wood delta,Wood R,Wood Station,wood station,210,1,Y,11.6,62,,,,,,"27 detections, temp ranged 10.8-13.2"
9/14/2017,STATION,3,,,,,,,,trib,wood delta,Wood R,Wood Station,wood station,210,1,Y,11.6,65,,,,,,"4 detections, temp ranged 11.6-11.6"
9/25/2017,William Tinniswood,3,,,,,,,,trib,wood delta,Agency L,Wood R Delta,,210,1,,,,,,,,,Picked up from address 38012 Modoc Point road
9/25/2017,William Tinniswood,14,,,,,,,,trib,wood delta,Agency L,Wood R Delta,east shoreline,210,1,Y,11.6,,,,,,,Very weak signal
9/30/2017,William Tinniswood,4,,,,,,,,trib,wood delta,Agency L,Wood R Delta,,210,1,,10.8,,,,,,,Could not get activity to code out.Picked up from address 38012 Modoc Point road
10/16/2017,JA,1,,,,,,42.31789,-121.88235,lake,lake,,,in flight skillet handle,210,1,,,,,,,,,
2/8/2018,William Tinniswood,14,,,,,,,,lake,lake,UKL,North: Thomason Ck,just east of Thomason Creek mouth,210,1,Y,6.8,,,,,,,
5/24/2018,JO,11,,,,,,42.4947,-122.0314,junk,junk,,,,210,1,N,16.4,117,82,,,,,frequency may be wrong
7/2/2018,WT,,,,,,,,,junk,junk,Pelican Bay,,,210,1,,,,,,,,,questionable
5/5/2017,NH,6,,,,,,,,release,release,,,Henzel,210,2,Y,,,,,,,,release site
5/8/2017,MW,3,,,,,,,,lake,lake,UKL,Central: East Side Springs,1 mi N of hagelstein in lake,210,2,Y,13.2,43,65,,,,,
6/2/2017,STATION,3,,,,,,,,trib,lower willy,Williamson R,Williamson Station,williamson station,210,2,Y,17.2,232,,,,,,"49 detections, temp ranged 17.2-18"
6/5/2017,Matt Wyatt,1,42 30.2302 N    121 55.6000 W::6/5/17 at 17:21:40 (UTC),10T,5.88E+05,4.71E+06,1267.4 M,42.503837 N,121.926667 W,trib,lower willy,Williamson R,,Upstream of tnc boat ramp,210,2,Y,18,77,69,,,,,
6/22/2017,Nick Hahlbeck,3,42 30.4470 N    121 55.3684 W::6/22/17 at 19:53:57 (UTC),10T,5.88E+05,4.71E+06,1268.1 M,42.507450 N,121.922807 W,trib,lower willy,Williamson R,Mainstem: Below Sprague,Lowest no wake buoy on williamson,210,2,Y,19.6,204,67,19.4,3.3,Shoreline w/ trees,,
7/6/2017,Jordan Ortega,7,,,,,,,,trib,lower willy,Williamson R,,Tnc boat launch,210,2,Y,14,69,67,,,,,
7/10/2017,Jordan Ortega,9,42 29.5083 N    121 56.4336 W::7/10/17 at 22:20:41 (UTC),10T,5.87E+05,4.70E+06,1245.9 M,42.491805 N,121.940560 W,trib,lower willy,Williamson R,,200 meters down from tnc on east bank,210,2,Y,18.8,255,59,21.9,,,,Near trees on bank
7/24/2017,Jordan Ortega,2,,,,,,,,trib,lower willy,Williamson R,Mainstem: Below Sprague,1st left bend up from tnc ramp,210,2,Y,18.8,122,70,19.3,3.1,Shoreline w bull rush,,
9/12/2017,STATION,3,,,,,,,,trib,lower willy,Williamson R,Williamson Station,williamson station,210,2,Y,15.6,187,,,,,,"45 detections, temp ranged 15.6-17.2"
10/16/2017,JA,2,,,,,,42.40117,-121.95959,lake,lake,,,in flight shoalwater bay,210,2,Y,,,,,,,,
