date,recorder,crew,capture_method,location,specific_location,sex,fish_of_day,fin_clip_id,scales_id,TL_estimate_in,FL_mm,wt_estimate_lb,wt_g,bioimp_a,bioimp_b,anesthesia_temp_C,diet_id,pit_id,radio_freq,radio_id,copepods,lamprey_marks,comments
5/3/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,F,2,,2,,515,,1703,,,,,257C631ECC,290,9,,,
5/3/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,M,3,,3,,608,,2952,,,,,257C5B381C,290,11,,,
5/3/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,M,4,,4,,690,,3890,,,,,257C5DAB79,290,12,,,Likely errors in either PIT ID or station/mobile data; see late may and oct 2016
5/3/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,F,5,,5,,560,,1883,,,,,257C5D72D2,290,13,,,
5/3/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,F,6,,6,,605,,869,,,,,257C630DD8,290,14,,,
5/3/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,F,7,,7,,615,,2023,,,,,257C5DAC60,290,15,,,
5/3/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,M,8,,8,,760,,3612,,,,,257C6337C4,290,16,,,
5/3/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,F,9,,9,,630,,1504,,,,,257C5DA9D0,290,17,,,
5/3/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,M,10,,10,,524,,922,,,,,257C5DD693,290,18,,,
5/3/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,M,11,,11,,595,,1339,,,,,257C5DCF70,290,19,,,
5/3/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,M,12,,12,,535,,1085,,,,,,,,,,
5/3/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,F,13,,13,,560,,1032,,,,,257C5A4D4C,250,2,,,
5/3/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,M,14,,14,,590,,2281,,,,,257C5DCD8B,250,3,,,
5/3/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,,15,,15,,548,,2020,,,,,257C5DBA29,250,4,,,
5/3/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,,16,,16,,540,,2012,,,,,257C5B2DDF,250,5,,,PIT ID likely incorrect; oct 2016 detections unlikely given telemetry
5/3/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,,17,,17,,595,,2225,,,,,257C5D75CF,250,7,,,
5/3/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,,18,,18,,503,,,,,,,257C5D8942,250,1,,,
5/3/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,F,19,,19,,578,,2014,,,,,257C5DA3F6,290,10,,,
5/3/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,,20,,20,,550,,2023,,,,,,,,,,angling mort
5/3/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,,21,,,,480,,,,,,,,,,,,
5/3/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,,22,,,,510,,,,,,,,,,,,
5/3/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,,23,,23,,546,,1920,,,,,,,,,,angling mort
5/3/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,,24,,,,480,,,,,,,,,,,,
5/3/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,,25,,,,470,,,,,,,,,,,,
5/4/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,M,1,,,,576,,,,,,,257C631C48,,,N,,Eagle ridge just past point is release site
5/4/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,F,2,,,,620,,,,,,,257C5AF21A,,,N,,Eagle Ridge just past point is release site
5/4/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,F,3,,,,540,,,,,,,257C5D8D39,,,,,Eagle Ridge just past point is release site
5/4/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,F,4,,4,,629,,3036,,,,,003BC3BF12,250,9,Y,,Fin clip taken
5/4/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,M,5,,5,,655,,3331,,,,,257C632ED9,250,11,,,Fin clip taken
5/4/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,F,6,,6,,670,,2978,,,,,003BC3BF1D,,,,,Dark and skinny. Fin clip taken
5/4/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,M,7,,7,,644,,3263,,,,,257C5DB1F6,250,12,,,Fin clip taken. Sex unknown
5/4/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,F,8,,8,,619,,2378,,,,,257C5D5E95,250,13,Y,,Fin Clip taken
5/4/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,M,9,,9,,625,,2126,,,,,003BC3BF28,250,6,N,,Missing part of dorsal and adipose. Dark coloration. Scratch marks.Fin Clip taken
5/4/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,F,10,,10,,545,,1225,,,,,003BC3BF3D,,,,,Fin Clip taken
5/4/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,M,11,,,,555,,1447,,,,,003BC3BF36,,,,,Scale loss. Fin Clip taken
5/4/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,M,12,,12,,545,,1305,,,,,003BC3BF62,,,,,Fin clip taken
5/4/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,M,13,,13,,566,,1606,,,,,257C5B3BD7,250,16,,,Sex unknown. Fin cip taken
5/4/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,F,14,,14,,530,,874,,,,,003BC3BF61,,,,,Fin clip taken
5/4/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,F,15,,15,,534,,1173,,,,,003BC3BF69,,,,,Fin clip taken
5/4/2016,unknown,,angling,UKL,Shoalwater/Eagle Ridge,M,16,,16,,565,,1554,,,,,003BC3BF14,,,,,Fin clip taken
7/27/2016,WT,,mort,UKL,,,,ADFL1,,,725,,,,,,,,,,,,
8/4/2016,WT,,mort,Pelican Bay,Harriman Ck,F,,ADFL2,,,535,,,,,,,,,,,,
8/4/2016,WT,,mort,Pelican Bay,Pelican Bay/Rocky Pt Shoreline,,,ADFL3,,,567,,,,,,,,,,,,hooking mort
9/1/2016,AE,,mort,Williamson,Upper,F,,1,,22.5,,,,,,,,,,,,,rm 16
4/14/2017,NH,,angling,UKL,Shoalwater/Eagle Ridge,M,1,ADFL22,1,,695,,4072,,,,,003BC3BF87,,,N,10,"caught previous day and held in net pen resulting in physical damage; lamprey marks fresh, poor condition, scales missing"
4/14/2017,NH,,angling,UKL,Shoalwater Bay,F,2,ADFL23,2,,618,,3590,,,,,003BC3BFAE,290,2,N,3,"2 fresh, 1 healed lamprey marks; excellent condition, potentially gravid but bright"
4/14/2017,NH,,angling,UKL,Shoalwater/Eagle Ridge,F,3,ADFL24,3,,574,,2044,55.8,30.2,7.2,,,,,N,0,"caught previous day and held in net pen resulting in physical damage; deformed right eye, piece missing from caudal, net rash on mandible and opercle; fin clip mixed up with others - discarded as no longer identifiable"
4/14/2017,NH,,angling,UKL,Shoalwater/Eagle Ridge,F,4,ADFL25,4,,575,,2110,52.7,29.6,6.8,,,,,N,10,"caught previous day and held in net pen resulting in physical damage; most lamprey marks fresh, right eye deformed, bright, spawned out"
4/14/2017,NH,,angling,UKL,Eagle Ridge,F,5,ADFL26,5,,598,,2225,63.1,26.5,7.2,,,,,N,0,"dark, fair condition; fin clip mixed up with others - discarded as no longer identifiable"
4/14/2017,NH,,angling,UKL,Shoalwater/Eagle Ridge,F,6,ADFL27,6,,588,,1821,58.4,28.2,6.6,,,,,N,2,"caught previous day and held in net pen resulting in physical damage; lamprey marks severe, convulsed in measuring tray"
4/14/2017,NH,,angling,UKL,Shoalwater/Eagle Ridge,F,7,ADFL28,7,,519,,1706,69.3,34.3,6.6,,,,,N,6,"caught previous day and held in net pen resulting in physical damage; lower mandible abrasion, left eye deformed"
4/14/2017,NH,,angling,UKL,Shoalwater/Eagle Ridge,,8,ADFL29,8,,544,,1710,67.7,34.7,7.6,,,,,Y,1,"caught previous day and held in net pen resulting in physical damage; hook or net injury on mouth w/ parasites, missing scales; fin clip mixed up with others - discarded as no longer identifiable"
4/14/2017,NH,,angling,UKL,Shoalwater/Eagle Ridge,,9,ADFL30,9,,500,,1436,69.6,36.5,7.6,,,,,N,0,"caught previous day and held in net pen resulting in physical damage; potential otter marks - 2 vertical lacerations, healed"
4/14/2017,NH,,angling,UKL,Eagle Ridge,,10,ADFL31,10,,598,,2318,54.2,28.6,7.2,,003BC3BFA8,250,9,N,0,"2 tiny lesions at base of dorsal fin, good condition, bright"
4/14/2017,NH,,angling,UKL,Eagle Ridge,,11,ADFL32,11,,604,,2708,58.8,27.2,7.1,,003BC3BFB8,290,3,N,1,"bright chrome, missing scales, otherwise good condition"
4/14/2017,NH,,angling,UKL,Shoalwater/Eagle Ridge,,12,ADFL33,12,,425,,828,85.8,41.5,,,,,,,,caught previous day and held in net pen resulting in physical damage
4/14/2017,NH,,angling,UKL,Shoalwater/Eagle Ridge,,13,ADFL34,13,,494,,1236,70.5,31.2,6.9,,,,,N,0,caught previous day and held in net pen resulting in physical damage
4/14/2017,NH,,angling,UKL,Eagle Ridge,F,14,ADFL35,14,,574,,2355,60.1,33.2,6.9,,003BC3BFC5,250,18,N,4,"caudal peduncle injury, some scales missing, bright"
4/14/2017,NH,,angling,UKL,Eagle Ridge,F,15,ADFL36,15,,535,,1668,58.7,28,7,,003BC3BF70,290,1,N,3,"2 old and 1 fresh lamprey marks, bright, fair condition, slight descaling"
4/14/2017,NH,,angling,UKL,Eagle Ridge,F,16,ADFL37,16,,622,,3034,50.1,25,9.2,,003BC3BFC3,250,4,N,6,"bright, otherwise good condition, NH sexed"
4/14/2017,NH,,angling,UKL,Eagle Ridge,F,17,ADFL38,17,,610,,3244,54.5,27.6,9.2,,003BC3BF76,290,7,Y,2,"bright, excellent condition except for 2 healed lamprey marks and a few lernaea in gills, NH sexed"
4/14/2017,NH,,angling,UKL,Shoalwater Bay,F,18,ADFL39,18,,632,,3296,44.4,24.2,8.8,,003BC3BFB7,290,15,N,2,"lamprey marks healed, good condition, dark, caudal fin frayed, bleeder"
4/14/2017,NH,,angling,UKL,Eagle Ridge,F,19,ADFL40,19,,565,,2360,58.2,27.5,9.2,,003BC3BF82,290,18,N,3,"bright, some scale loss"
4/14/2017,NH,,angling,UKL,Eagle Ridge,F,20,ADFL41,20,,565,,1886,49.9,28,9.2,,003BC3BFCA,290,10,N,0,"bright chrome, skinny, maybe spawned out, good scale coverage, NH sexed"
4/14/2017,NH,,angling,UKL,Shoalwater Marsh,,21,ADFL42,21,,524,,1728,52.2,27.8,9.2,,,290,19,Y,3,"PIT ID originally duplicated 170 2; likely incorrect given telemetry. dark, skinny, lower mandible abrasion, lernaea in gill rakers"
4/14/2017,NH,,angling,UKL,Shoalwater Marsh,F,22,ADFL43,22,,593,,2292,45.3,24.9,9.1,,003BC3BF79,290,4,N,3,"poor condition, heavy scale loss, hook in mouth, pale, deformed mandible, worst condition fish today, NH sexed"
4/14/2017,NH,,angling,UKL,Shoalwater Marsh,F,23,ADFL44,23,,506,,1382,63.2,29.7,9.1,,003BC3BF8A,250,22,Y,5,"skinny, pale, NH sexed, 1 lernaea"
4/14/2017,NH,,angling,UKL,Shoalwater/Eagle Ridge,,24,ADFL45,,,,,,,,,,,,,,,clip from one of fish 1-23 that fell out of envelope
4/14/2017,NH,,angling,UKL,Shoalwater/Eagle Ridge,,25,ADFL46,,,,,,,,,,,,,,,clip from one of fish 1-23 that fell out of envelope
4/14/2017,NH,,angling,UKL,Shoalwater/Eagle Ridge,,26,ADFL47,,,,,,,,,,,,,,,clip from one of fish 1-23 that fell out of envelope
4/15/2017,NH,,angling,UKL,Eagle Ridge,F,1,ADFL48,1,,525,,1332,66.1,32.3,5.5,,,,,N,3,"spawned out, 3 vertical lacerations below dorsal, missing dorsal fin - fresh"
4/15/2017,NH,,angling,UKL,Eagle Ridge,F,2,ADFL49,2,,527,,1416,61,26.5,5.5,,003BC3BFAA,290,22,N,0,"blackish gums, heavily spotted, some descaling and possible very old lamprey marks, large anal and adipose fins, skinny and spawned out but great condition"
4/15/2017,NH,,angling,UKL,Eagle Ridge,F,3,KL1,KL1,,650,,3542,52.2,23.7,5.6,,003BC3BF81,290,26,N,1,"some descaling and caudal fraying, large scar from lat line to abdomen, thick body, pale gills"
4/15/2017,NH,,angling,UKL,Eagle Ridge,M,4,ADFL50,4,,625,,2884,53.6,26.8,5.6,,003BC3BF7E,250,23,N,5,2 fresh and 3 old lamprey marks; chrome
4/15/2017,NH,,angling,UKL,Eagle Ridge,F,5,KL3,KL3,,539,,1800,60.6,29.8,5.9,,003BC3BFBF,290,21,N,2,"1 fresh and 1 old lamprey mark, skinny, chrome"
4/15/2017,NH,,angling,UKL,Eagle Ridge,F,6,ADFL51,6,,610,,2502,53.1,27.5,8,,003BC3BFC8,250,26,N,0,"slight caudal fin abrasion, great condition, NH sexed"
4/15/2017,NH,,angling,UKL,Eagle Ridge,F,7,ADFL52,7,,537,,1934,57.4,29,8,,003BC3BFB2,250,24,N,2,"lamprey marks old; bright, some scale loss, skinny, NH sexed"
4/15/2017,NH,,angling,UKL,Shoalwater Bay,F,8,ADFL53,8,,665,,3514,41.8,24.6,8,,003BC3BF8C,290,23,N,0,"unknown red lesions above anal fin and below adipose and on caudal fin, possibly spawning related hemorrhaging, NH sexed, thick body"
4/15/2017,NH,,angling,UKL,Eagle Ridge,F,9,ADFL54,9,,548,,2284,61.2,28.3,8,,003BC3BFBA,250,25,Y,1,"lamprey mark old; lernaea in gills, bright chrome, deep bodied but laterally compressed, NH sexed"
4/15/2017,NH,,angling,UKL,Eagle Ridge,M,10,KL4,KL4,,615,,3052,57.9,26.3,8,,003BC3BFBB,250,21,N,3,"1 lengthwise abdominal lesion, thick fat body, double penetration on suture, NH sexed"
4/15/2017,NH,,angling,UKL,Eagle Ridge,F,11,ADFL55,11,,585,,2748,48.1,26.2,8.2,,003BC3BFC0,290,25,N,2,1 pectoral and 1 lateral LARGE fresh lamprey mark; NH sexed
4/15/2017,NH,,angling,UKL,Eagle Ridge,F,12,KL6,KL6,,565,,2110,49.5,25.1,8.2,,003BC3BF8D,210,22,N,1,"lamprey mark pectoral; very frayed caudal fin, pale body, NH sexed"
4/15/2017,NH,,angling,UKL,Eagle Ridge,M,13,ADFL56,13,,525,,1630,57.9,26.3,8.2,,003BC3BFBD,210,20,Y,2,"lamprey marks on pectoral and anal, lernaea in gills, bright, skinny, NH sexed"
4/15/2017,NH,,angling,UKL,Skillet Handle,M,14,ADFL57,14,,575,,2142,57.4,26.6,8.2,,003BC3BF74,210,24,N,1,"lamprey mark old; descaled, bright, 3 vertical lacerations, deep body, laterally compressed, NH sexed, anal fin lesion"
4/15/2017,NH,,angling,UKL,Eagle Ridge,M,15,ADFL58,15,,657,,2618,46.1,23.1,8.2,,003BC3BF7A,210,19,Y,4,"lamprey marks old, lots of lernaea, caudal fin lesion on dorsal side, strong kype, jaw abraded to bone, 2 ventral yellow spots, dark, probably post spawn"
4/15/2017,NH,,angling,UKL,Eagle Ridge,F,16,KL5,KL5,,587,,2382,51.7,24,8.2,,003BC3BF7C,210,23,N,3,"lamprey marks old, 1 elongate; caudal eroded/abraded, thick body but not deep, pale gills"
4/15/2017,NH,,angling,UKL,Eagle Ridge,F,17,ADFL59,17,,597,,2470,50.1,27.3,8.8,,003BC3BF68,210,16,Y,1,"PIT ID likely incorrect; detected before fish was tagged. lamprey mark very old, some lernaea in gills, chrome bright, great condition"
4/15/2017,NH,,angling,UKL,Eagle Ridge,M,18,ADFL60,18,,588,,2354,44,24.8,9.5,,003BC3BFB5,210,26,Y,3,"lamprey marks old, few lernaea in gills, prominent kype, spawned out male, dropped 1/2 ft"
4/15/2017,NH,,angling,UKL,Shoalwater Marsh,M,19,ADFL61,19,,600,,2072,47.3,23.8,,,,,,N,2,"very dark, very prominent kype, descaled, likely spent make, caught w/ 2 lampreys on fish"
4/15/2017,NH,,angling,UKL,Shoalwater Marsh,F,20,ADFL62,20,,548,,1928,49,27.6,9.8,,003BC3BF6F,210,25,Y,3,"lamprey marks old, many lernaea in gills"
4/15/2017,NH,,angling,UKL,Eagle Ridge,F,21,KL2,KL2,,570,,2438,47.5,25.8,,,003BC3BFCB,210,10,Y,0,"many lernaea in gills, pale, abraded caudal fin w/ lesion on dorsal side"
4/15/2017,NH,,angling,UKL,Shoalwater Bay,F,22,ADFL63,22,,548,,1982,46.3,20.8,10.1,,003BC3BF6A,210,7,N,0,"dark, abraded caudal fin, dropped on surgical plane 1/2 ft"
4/15/2017,NH,,angling,UKL,Eagle Ridge,M,23,23,23,,614,,3252,47.3,24.2,10.6,,003BC3BF16,,,N,1,"lamprey mark fresh, on caudal fin; badly deformed right eye, abraded dorsal fin"
4/15/2017,NH,,angling,UKL,Eagle Ridge,F,24,24,24,,554,,2124,55.1,24.5,10.6,,003BC3BF90,,,N,3,"lamprey marks old; chrome, excellent condition"
4/15/2017,NH,,angling,UKL,Eagle Ridge,F,25,25,25,,660,,3058,46.5,25.4,,,003BC3BF78,,,,1,"lamprey mark old; regenerated scales, bright chrome (pic taken)"
4/15/2017,NH,,angling,UKL,Eagle Ridge,F,26,26,26,,528,,1568,54.8,26.6,,,003BC3BFAC,,,,1,"lamprey mark old; abraded upper jaw, ventral yellow spot, lesion on ventral caudal fin, sex uncertain - spawned out female?"
4/15/2017,NH,,angling,UKL,Eagle Ridge,M,27,27,27,,519,,1694,60.5,25,,,003BC3BF92,,,Y,1,lamprey mark fresh; several lernaea on dorsal
4/15/2017,NH,,angling,UKL,Eagle Ridge,M,28,28,28,,485,,1138,57.6,23.2,11.1,,,,,,2,"lamprey marks old, 1 elongated; prominent kype, skinny, olive color"
4/15/2017,NH,,angling,UKL,Eagle Ridge,M,29,29,29,,573,,2282,43.7,23.5,11.1,,,,,,5,"2 fresh marks on pectoral, 1 fresh on anal; chrome"
4/15/2017,NH,,angling,UKL,Shoalwater Bay,F,30,30,30,,502,,1338,54.9,27.9,11.1,,003BC3BFB1,,,,,bright chrome
4/15/2017,NH,,angling,UKL,Shoalwater Bay,F,31,31,31,,529,,1494,52.8,26.4,11.1,,003BC3BFA2,,,,1,"lamprey mark old, injured maxillary from previous catch"
4/27/2017,MR,,angling,UKL,Shoalwater Marsh,,1,1,1,,450,,1120,68.1,32,,,,,,Y,,"healthy looking fish, body lacerations"
4/27/2017,MR,,angling,UKL,Shoalwater Marsh,,2,2,2,,465,,1220,64,30.5,,,,,,Y,,copepods on anal and caudal fin
4/27/2017,MR,,angling,UKL,Shoalwater Marsh,,3,3,3,,465,,1270,64.5,31.5,,,,,,Y,,"lamprey marks old, copepods on anal, dorsal, adipose fins"
5/2/2017,NH,,angling,UKL,Shoalwater Marsh,M,1,1,1,,570,,2350,46.5,23,,22,,,,Y,,leech length unmarked while other 3 prey type unmarked with length 20 - likely leech = 20 mm
5/2/2017,NH,,angling,UKL,Shoalwater Marsh,F,2,2,2,,530,,1360,49.5,25.6,,,,,,Y,,"spawned out female, yellow spots on lower mandible, 1 laceration on side, dark and discolored fins"
5/2/2017,NH,,angling,UKL,Shoalwater Marsh,M,3,3,3,,595,,2288,,,,23,,,,Y,,"1 severe lamprey mark on dorsal, very slimy; bioimpedance was a=31.1 but could be 39.1 (handwriting unclear), b=22.6 so removed as outlier"
5/2/2017,NH,,angling,UKL,Shoalwater Marsh,F,4,4,4,,500,,1220,55.1,26.2,,24,,,,Y,,"copepods on pec fins, left eye deformed, bright, skinny"
5/2/2017,NH,,angling,UKL,Shoalwater Marsh,M,5,5,5,,570,,2314,43.8,22.9,,25,,,,N,,"colorful, healthy appearance"
5/5/2017,NH,,angling,Agency L,,,1,1,1,,560,,1818,46.8,25.5,15.9,,,,,,1,went under <2 mins
5/5/2017,NH,,angling,Agency L,,M,2,2,2,,560,,2106,38.6,22.5,15.7,,,,,N,5,"deformed left eye, pale, heavy scale loss, discolored fins"
5/5/2017,NH,,angling,Agency L,,F,3,3,3,,364,,564,71,30.2,15.7,,,,,Y,2,"heavy scale loss, bright silver"
5/5/2017,NH,,angling,Agency L,,M,4,4,4,,584,,2190,47.4,22.7,15.7,,003BC3BFC4,210,1,N,3,"flat wide head, heavy scale loss, yellow spot on pectoral"
5/5/2017,NH,,angling,Agency L,,M,5,5,5,,590,,2350,41.9,21,15.6,,003BC3BFA7,210,4,Y,1,"only 2 copepods, small yellow spot on opercle, shredded and bleeding dorsal, hemhorrage in fins and ventral tissue"
5/5/2017,NH,,angling,Agency L,,M,6,6,6,,523,,1578,56,25.1,15.5,,003BC3BF7B,210,18,N,0,"very bright chrome, prominent hump/shoulders, gravel embedded in ventral tissue, fins hemhorraging, several small red lesions"
5/5/2017,NH,,angling,Agency L,,M,7,7,7,,551,,1802,52.5,24.5,15.4,,003BC3BF7D,210,15,N,0,hemhorraging and gravel on ventral side
5/5/2017,NH,,angling,Agency L,,F,8,8,8,,509,,1606,50.9,25,15.3,,003BC3BF73,210,3,Y,3,"gaping laceration healing on ventral side, hemhorraging fins, lamprey marks on side, pelvic girdle and one fresh above lat line"
5/5/2017,NH,,angling,Agency L,,M,9,9,9,,444,,1032,68.5,28.7,15.3,,003BC3BF80,210,2,N,0,"large descaled area colored orange, chrome, light hemhorrage on ventral and fins"
5/5/2017,NH,,angling,Agency L,,M,10,10,10,,566,,2225,48.2,22,15.3,,003BC3BFC9,210,11,Y,3,"huge healed injury from back to ventral posterior to dorsal fin, 2 lamprey marks on side by dorsal, 1 on side above anal"
5/5/2017,NH,,angling,Agency L,Petric Channel,F,11,11,11,,469,,1405,51.7,25,15.4,,003BC3BF9D,210,21,N,0,"little blood in eye, dark, old hook injury"
5/5/2017,NH,,angling,Agency L,Petric Channel,F,12,12,12,,546,,2100,45.3,21.2,15.4,,003BC3BF26,290,5,N,1,"bright, lamprey mark on lat line above pelvic girdle, old hook injury, yellow spot anterior to pelvic, fin rot on pec fin, bleeder"
5/5/2017,NH,,angling,Agency L,,F,13,13,13,,314,,906,86.5,28.4,15.4,,,,,N,0,"chrome, diet = 1 scud amphipod, 1 mayfly, 17 green midge 6 mm, 200 daphnia 1 mm, lacerations on back and side"
5/5/2017,NH,,angling,UKL,"South UKL (Cove Pt, Hanks Marsh, Skillet Handle)",F,14,KL7,14,,590,,2426,41.2,20.2,15.6,,003BC3BFA6,250,11,Y,1,"frayed dorsal, yellow spot near pectoral, lamprey mark above anal fin, pale gills"
